ID;Módulo;Actor;Tipo;Requerimiento;Criterio de aceptación;Prioridad;Entregable objetivo;Depende de;Estado;Mockup
RF-GN-03;M1 Autenticación;Todos;Funcional;Login único: tras autenticar se resuelve el rol y se navega al flujo correspondiente;Con credenciales válidas de cada uno de los 4 roles la app abre el grafo de navegación propio de ese rol;Alta;6 - Firebase Auth;;Pendiente;Sí
RF-CL-01;M1 Autenticación;Cliente;Funcional;Autoregistrarse y quedar habilitado automáticamente;Al completar el formulario con nombres apellidos tipo y número de documento fecha de nacimiento correo teléfono domicilio y foto la cuenta queda activa sin aprobación;Alta;6 - Firebase Auth;;Pendiente;Parcial
RF-TX-01;M1 Autenticación;Taxista;Funcional;Autoregistrarse en la app web con todos sus datos y fotos;El formulario web exige nombres apellidos tipo y número de documento fecha de nacimiento correo teléfono domicilio foto placa y foto del vehículo;Alta;Final;;Pendiente;No
RF-TX-02;M1 Autenticación;Taxista;Funcional;Acceder a la app móvil una vez habilitado;Un taxista no habilitado no puede iniciar sesión en la app móvil y uno habilitado sí;Alta;6 - Firebase Auth;RF-SA-03;Pendiente;No
RF-SA-01;M2 Gestión de usuarios;Superadmin;Funcional;Activar y desactivar administradores de hotel taxistas y clientes;Al desactivar un usuario este no puede iniciar sesión y al reactivarlo recupera el acceso;Alta;6 - Firebase Auth;;Pendiente;No
RF-SA-02;M2 Gestión de usuarios;Superadmin;Funcional;Registrar hoteles y asignar un administrador a cada uno;Un hotel registrado queda asociado a exactamente un administrador que ve solo ese hotel;Alta;6 - Firebase DB;;Pendiente;No
RF-SA-03;M2 Gestión de usuarios;Superadmin;Funcional;Aprobar o habilitar taxistas desde la app web;El taxista pasa de pendiente a habilitado y recién entonces aparece como disponible;Alta;Final;RF-TX-01;Pendiente;No
RF-AH-01;M3 Catálogo;Admin de hotel;Funcional;Registrar la ubicación del hotel y los lugares históricos cercanos;La ubicación se selecciona en un mapa y se listan los lugares históricos cercanos asociados;Alta;6 - Firebase DB;RF-SA-02;Pendiente;No
RF-AH-02;M3 Catálogo;Admin de hotel;Funcional;Subir fotos del hotel con un mínimo de 4;El formulario no permite guardar con menos de 4 fotos;Alta;5 - Storage;RF-SA-02;Pendiente;Sí
RF-AH-03;M3 Catálogo;Admin de hotel;Funcional;Registrar habitaciones con tipo capacidad de adultos y niños y tamaño en m2;La habitación guardada muestra los 4 datos y queda listada en el hotel;Alta;4 - RecyclerView;RF-SA-02;Pendiente;Sí
RF-AH-04;M3 Catálogo;Admin de hotel;Funcional;Registrar servicios con nombre descripción precio imágenes y si tienen costo;Un servicio marcado sin costo no suma al total de la reserva;Alta;4 - RecyclerView;RF-SA-02;Pendiente;Sí
RF-CL-02;M3 Catálogo;Cliente;Funcional;Consultar hoteles habitaciones servicios disponibilidad y valoraciones;El listado muestra hoteles con sus fotos habitaciones servicios y promedio de valoraciones;Alta;4 - RecyclerView;RF-AH-01;Pendiente;Sí
RF-CL-03;M4 Reservas;Cliente;Funcional;Reservar con tarjeta de crédito o débito simulada;Tras confirmar el pago simulado la reserva queda creada y visible en el historial;Alta;6 - Firebase DB;RF-CL-02;Pendiente;Sí
RF-GN-01;M4 Reservas;Sistema;Funcional;Una habitación no puede tener reservas de distintos clientes con períodos superpuestos;Al intentar reservar fechas que se solapan con una reserva existente de esa habitación el sistema rechaza la operación;Alta;6 - Firebase DB;RF-CL-03;Pendiente;Sí
RF-GN-02;M4 Reservas;Sistema;Funcional;Un mismo cliente no puede tener reservas con fechas de alojamiento superpuestas;Al intentar una segunda reserva que se solapa con otra propia el sistema la rechaza;Alta;6 - Firebase DB;RF-CL-03;Pendiente;Sí
RF-CL-06;M4 Reservas;Cliente;Funcional;Ver el historial de sus reservas;El historial lista las reservas del cliente autenticado con fechas hotel habitación estado y monto;Media;4 - RecyclerView;RF-CL-03;Pendiente;Sí
RF-AH-06;M5 Pagos y cobros;Admin de hotel;Funcional;Recibir la alerta de checkout y procesar el cobro de la tarjeta registrada;Al hacer checkout el cliente el hotel recibe la alerta y puede ejecutar el cobro;Alta;5 - Notificaciones;RF-CL-04;Pendiente;Sí
